NOME_MUNICIPIO,ANO,VALOR_PARCELA
ACREUNA,2013,148.73929075844572
ACREUNA,2014,155.5888683353743
ACREUNA,2015,151.61055202630533
ACREUNA,2016,149.51851740532445
ACREUNA,2017,149.20801853224162
ACREUNA,2018,147.34758241748105
ACREUNA,2019,149.8610116471018
AGUA FRIA DE GOIAS,2013,138.77215874795965
AGUA FRIA DE GOIAS,2014,139.80963827817413
AGUA FRIA DE GOIAS,2015,139.68023385100557
AGUA FRIA DE GOIAS,2016,145.22808188051215
AGUA FRIA DE GOIAS,2017,153.53047828599898
AGUA FRIA DE GOIAS,2018,170.6272452903554
AGUA FRIA DE GOIAS,2019,191.8552730608477
AGUAS LINDAS DE GOIAS,2013,157.1284387236356
AGUAS LINDAS DE GOIAS,2014,180.61315515088623
AGUAS LINDAS DE GOIAS,2015,194.4118045961612
AGUAS LINDAS DE GOIAS,2016,200.2921860472592
AGUAS LINDAS DE GOIAS,2017,192.0732216689315
AGUAS LINDAS DE GOIAS,2018,191.39239930940323
AGUAS LINDAS DE GOIAS,2019,195.91810306766172
ALEXANIA,2013,146.10630514399654
ALEXANIA,2014,158.0474980070155
ALEXANIA,2015,166.8593925111454
ALEXANIA,2016,175.52216428153233
ALEXANIA,2017,183.71152737773824
ALEXANIA,2018,187.40756635598913
ALEXANIA,2019,192.92567686259508
ALTO PARAISO DE GOIAS,2013,155.49882132511775
ALTO PARAISO DE GOIAS,2014,171.67511524300082
ALTO PARAISO DE GOIAS,2015,170.89557424600136
ALTO PARAISO DE GOIAS,2016,163.68107467483068
ALTO PARAISO DE GOIAS,2017,155.53970090815707
ALTO PARAISO DE GOIAS,2018,154.70897526682037
ALTO PARAISO DE GOIAS,2019,155.4003817267434
ALVORADA DO NORTE,2013,137.63438500952574
ALVORADA DO NORTE,2014,143.91745168111
ALVORADA DO NORTE,2015,150.66266238845125
ALVORADA DO NORTE,2016,162.62343457760747
ALVORADA DO NORTE,2017,170.3387769493053
ALVORADA DO NORTE,2018,171.26023844537545
ALVORADA DO NORTE,2019,171.80968719478332
ARINOS,2013,143.1582585195134
ARINOS,2014,152.52919343201108
ARINOS,2015,164.2217336776396
ARINOS,2016,177.44886057948474
ARINOS,2017,189.0552134324106
ARINOS,2018,198.96229113952663
ARINOS,2019,207.9880472357486
BARRO ALTO,2013,147.2963919789968
BARRO ALTO,2014,176.79019392204114
BARRO ALTO,2015,186.86260575500182
BARRO ALTO,2016,203.89748715157
BARRO ALTO,2017,200.4972746006068
BARRO ALTO,2018,195.806611318686
BARRO ALTO,2019,198.81186239602087
BRASILIA,2013,125.49096495201955
BRASILIA,2014,135.79655209383733
BRASILIA,2015,142.66353219913086
BRASILIA,2016,148.567575035741
BRASILIA,2017,156.91508459161753
BRASILIA,2018,165.7730858584271
BRASILIA,2019,173.6492167164448
BURITIS,2013,149.7850599239206
BURITIS,2014,160.2231950222114
BURITIS,2015,169.50454575571436
BURITIS,2016,179.75649243100938
BURITIS,2017,186.72183182542912
BURITIS,2018,176.63368665018643
BURITIS,2019,172.43397986710292
CABECEIRA GRANDE,2013,140.73047178186906
CABECEIRA GRANDE,2014,149.5822118684728
CABECEIRA GRANDE,2015,153.64668342543413
CABECEIRA GRANDE,2016,159.18860727334004
CABECEIRA GRANDE,2017,160.9457213000726
CABECEIRA GRANDE,2018,160.97403101436012
CABECEIRA GRANDE,2019,160.37466815083252
CABECEIRAS,2013,142.83213719078236
CABECEIRAS,2014,159.56118637635765
CABECEIRAS,2015,169.1347559816094
CABECEIRAS,2016,174.14877800386034
CABECEIRAS,2017,177.0464701871429
CABECEIRAS,2018,187.75501061850116
CABECEIRAS,2019,195.92501006736
CAVALCANTE,2013,163.6436966517458
CAVALCANTE,2014,174.86028017100384
CAVALCANTE,2015,164.37800097981622
CAVALCANTE,2016,158.27009225152253
CAVALCANTE,2017,151.8207641913789
CAVALCANTE,2018,152.69473206706024
CAVALCANTE,2019,157.04146174760078
CIDADE OCIDENTAL,2013,161.7702170941019
CIDADE OCIDENTAL,2014,157.71687342261768
CIDADE OCIDENTAL,2015,160.57975836050866
CIDADE OCIDENTAL,2016,159.8464135501936
CIDADE OCIDENTAL,2017,168.78475386285865
CIDADE OCIDENTAL,2018,171.64626933564284
CIDADE OCIDENTAL,2019,182.52074286739634
COCALZINHO DE GOIAS,2013,150.47799682534713
COCALZINHO DE GOIAS,2014,158.9474423983065
COCALZINHO DE GOIAS,2015,160.97186475919588
COCALZINHO DE GOIAS,2016,162.72249463379777
COCALZINHO DE GOIAS,2017,168.10962194566702
COCALZINHO DE GOIAS,2018,169.75566746315653
COCALZINHO DE GOIAS,2019,177.2504565152189
CORUMBA DE GOIAS,2013,125.35280150791816
CORUMBA DE GOIAS,2014,130.70491695431144
CORUMBA DE GOIAS,2015,135.92992044186076
CORUMBA DE GOIAS,2016,137.62201157751394
CORUMBA DE GOIAS,2017,139.59197902697724
CORUMBA DE GOIAS,2018,142.95232710985363
CORUMBA DE GOIAS,2019,144.96666494953013
CRISTALINA,2013,169.16957370376318
CRISTALINA,2014,179.4997233140541
CRISTALINA,2015,175.16864666868173
CRISTALINA,2016,167.25155904455508
CRISTALINA,2017,161.124723679131
CRISTALINA,2018,162.28443708103893
CRISTALINA,2019,167.39609231271015
FLORES DE GOIAS,2013,163.45471937690908
FLORES DE GOIAS,2014,157.87742434656892
FLORES DE GOIAS,2015,159.92054284006218
FLORES DE GOIAS,2016,164.43012335644735
FLORES DE GOIAS,2017,167.83859246424277
FLORES DE GOIAS,2018,166.8037730338311
FLORES DE GOIAS,2019,167.99892511808486
FORMOSA,2013,139.8106064325107
FORMOSA,2014,150.50273815676763
FORMOSA,2015,156.626112483858
FORMOSA,2016,160.2302528415181
FORMOSA,2017,167.13322726751082
FORMOSA,2018,166.41591462042723
FORMOSA,2019,165.17672074754037
GOIANESIA,2013,130.3010636198443
GOIANESIA,2014,143.18989388768628
GOIANESIA,2015,146.86999149747473
GOIANESIA,2016,150.63127194065095
GOIANESIA,2017,153.35158471705645
GOIANESIA,2018,153.47601121040634
GOIANESIA,2019,156.70693364193562
LUZIANIA,2013,134.26601101211247
LUZIANIA,2014,139.35508662791307
LUZIANIA,2015,139.99923636818542
LUZIANIA,2016,135.24201560326534
LUZIANIA,2017,132.92365204531362
LUZIANIA,2018,139.02866244750635
LUZIANIA,2019,141.3260580539482
MIMOSO DE GOIAS,2013,121.31604867145852
MIMOSO DE GOIAS,2014,135.569267135991
MIMOSO DE GOIAS,2015,146.3525638961542
MIMOSO DE GOIAS,2016,152.9869006834938
MIMOSO DE GOIAS,2017,154.90033695355328
MIMOSO DE GOIAS,2018,155.12959803501954
MIMOSO DE GOIAS,2019,163.39102224729868
NIQUELANDIA,2013,137.15720408982062
NIQUELANDIA,2014,146.68887847552557
NIQUELANDIA,2015,149.4584241608787
NIQUELANDIA,2016,149.24242811215035
NIQUELANDIA,2017,145.31791073399185
NIQUELANDIA,2018,137.22352705817696
NIQUELANDIA,2019,132.08757303715757
NOVO GAMA,2013,143.06168445415958
NOVO GAMA,2014,144.16911353229045
NOVO GAMA,2015,148.11232690080382
NOVO GAMA,2016,143.10755237599446
NOVO GAMA,2017,138.79672585117927
NOVO GAMA,2018,146.9132668509899
NOVO GAMA,2019,153.8677983283808
PADRE BERNARDO,2013,126.36352099070501
PADRE BERNARDO,2014,137.21580848017075
PADRE BERNARDO,2015,144.7990970588917
PADRE BERNARDO,2016,147.66573361842552
PADRE BERNARDO,2017,157.8912414783854
PADRE BERNARDO,2018,156.81844367091134
PADRE BERNARDO,2019,162.72772981751882
PIRENOPOLIS,2013,121.85162143035637
PIRENOPOLIS,2014,126.82634890925247
PIRENOPOLIS,2015,128.16883894878688
PIRENOPOLIS,2016,126.67809937420252
PIRENOPOLIS,2017,119.76150732109562
PIRENOPOLIS,2018,122.05030977813789
PIRENOPOLIS,2019,130.8405192261401
PLANALTINA,2013,147.7420346386797
PLANALTINA,2014,155.94754320628525
PLANALTINA,2015,156.06226176218374
PLANALTINA,2016,156.1763520362897
PLANALTINA,2017,153.41484751724556
PLANALTINA,2018,150.0151805178431
PLANALTINA,2019,147.89221646536475
SANTO ANTONIO DO DESCOBERTO,2013,146.40879958076272
SANTO ANTONIO DO DESCOBERTO,2014,154.75749146332694
SANTO ANTONIO DO DESCOBERTO,2015,158.91181548892513
SANTO ANTONIO DO DESCOBERTO,2016,156.09394447252816
SANTO ANTONIO DO DESCOBERTO,2017,155.85324118780662
SANTO ANTONIO DO DESCOBERTO,2018,157.46236454218808
SANTO ANTONIO DO DESCOBERTO,2019,160.4567185035504
SAO JOAO D'ALIANCA,2013,144.61239490909787
SAO JOAO D'ALIANCA,2014,152.2274235476684
SAO JOAO D'ALIANCA,2015,161.4957365533999
SAO JOAO D'ALIANCA,2016,169.55706734530585
SAO JOAO D'ALIANCA,2017,180.97025581811013
SAO JOAO D'ALIANCA,2018,227.69447708763877
SAO JOAO D'ALIANCA,2019,194.19498630384015
SIMOLANDIA,2013,181.68300149369915
SIMOLANDIA,2014,201.99572791562022
SIMOLANDIA,2015,208.41455559074151
SIMOLANDIA,2016,205.34688518984532
SIMOLANDIA,2017,200.62099520709572
SIMOLANDIA,2018,195.63510443720642
SIMOLANDIA,2019,194.13041585214745
UNAI,2013,126.20940263626007
UNAI,2014,133.9787913467753
UNAI,2015,136.6342134593676
UNAI,2016,139.94228723642814
UNAI,2017,145.12254556699534
UNAI,2018,145.31728629358489
UNAI,2019,145.70405472168903
VALPARAISO DE GOIAS,2013,132.29390937208157
VALPARAISO DE GOIAS,2014,141.6133294623732
VALPARAISO DE GOIAS,2015,146.682215957051
VALPARAISO DE GOIAS,2016,147.94508979645053
VALPARAISO DE GOIAS,2017,145.67398545875855
VALPARAISO DE GOIAS,2018,138.17641938096588
VALPARAISO DE GOIAS,2019,134.57484539051669
VILA BOA,2013,133.009971334233
VILA BOA,2014,142.56995341819945
VILA BOA,2015,145.1173363916857
VILA BOA,2016,151.2935938678909
VILA BOA,2017,155.8044141344115
VILA BOA,2018,155.59981731078824
VILA BOA,2019,159.3297674089419
VILA PROPICIO,2013,158.97567701508208
VILA PROPICIO,2014,154.78932621100952
VILA PROPICIO,2015,155.66641735960494
VILA PROPICIO,2016,150.16597270291632
VILA PROPICIO,2017,151.58938066750184
VILA PROPICIO,2018,146.36674910537906
VILA PROPICIO,2019,141.17629019155333
